Ticker,Pct Change,MarketCap,Weight,Weighted Change,GICS Sector
CI,-1.54515627,94485839872,0.001945617,-0.003006282,Health Care
CINF,0.486721622,18439159808,0.000379692,0.000184804,Financials
CL,-0.458764846,76547153920,0.00157623,-0.000723119,Consumer Staples
CLX,0.182805625,16334447616,0.000336353,6.14872E-05,Consumer Staples
CMA,1.054933841,6731442176,0.000138611,0.000146226,Financials
CMCSA,-0.361942576,1.51217E+11,0.003113798,-0.001127016,Communication Services
CME,1.34389152,77385170944,0.001593486,0.002141473,Financials
CMG,0.425387581,86566764544,0.00178255,0.000758275,Consumer Discretionary
CMI,0.355762518,38969991168,0.000802455,0.000285484,Industrials
CMS,0.919995701,18345148416,0.000377756,0.000347534,Utilities
CNC,-3.491535644,39826747392,0.000820097,-0.0028634,Health Care
CNP,0.545144277,18878257152,0.000388734,0.000211916,Utilities
COF,0.094544781,52560101376,0.001082298,0.000102326,Financials
COO,0.476489768,18859956224,0.000388357,0.000185048,Health Care
COP,-0.339992793,1.37127E+11,0.002823676,-0.000960029,Energy
COR,-0.423077019,43658047488,0.00089899,-0.000380342,Health Care
COST,1.681436718,3.59118E+11,0.007394833,0.012433944,Consumer Staples
CPAY,-0.748293921,18827036672,0.000387679,-0.000290098,Financials
CPB,-0.657316479,13515990016,0.000278316,-0.000182942,Consumer Staples
CPRT,0.934230186,51983339520,0.001070421,0.00100002,Industrials
CPT,-0.394196379,11037026304,0.00022727,-8.95891E-05,Real Estate
CRL,-0.156284226,11188856832,0.000230397,-3.60074E-05,Health Care
CRM,-2.254370038,2.64462E+11,0.005445701,-0.012276626,Information Technology
CSCO,-0.386266762,1.87017E+11,0.003850991,-0.00148751,Information Technology
CSGP,0.280076855,35101114368,0.000722789,0.000202436,Real Estate
CSX,0.835817252,66037534720,0.00135982,0.001136561,Industrials
CTAS,-1.904982204,69279948800,0.001426587,-0.002717622,Industrials
CTLT,0.311067089,9921324032,0.000204296,6.35498E-05,Health Care
CTRA,0.22164561,20191041536,0.000415766,9.21528E-05,Energy
CTSH,-0.219076272,33968635904,0.000699469,-0.000153237,Information Technology
CTVA,-0.107974399,38689136640,0.000796672,-8.60202E-05,Materials
CVS,-0.197665063,69723250688,0.001435715,-0.000283791,Health Care
CVX,0.516119247,2.88493E+11,0.005940544,0.003066029,Energy
CZR,3.381501168,7265862144,0.000149616,0.000505926,Consumer Discretionary
D,0.475827932,44249161728,0.000911162,0.000433556,Utilities
DAL,1.249998789,33453027328,0.000688852,0.000861064,Industrials
DAY,-7.631578039,8867663872,0.0001826,-0.001393523,Industrials
DD,2.774613497,33916598272,0.000698398,0.001937784,Materials
DE,-1.128572643,1.04373E+11,0.002149212,-0.002425542,Industrials
DECK,14.17675306,26512685056,0.000545939,0.007739647,Consumer Discretionary
DFS,0.333852024,30878810112,0.000635845,0.000212278,Financials
DG,4.391892485,31902820352,0.000656931,0.00288517,Consumer Staples
DGX,0.885465262,15695077376,0.000323187,0.000286171,Health Care
DHI,1.260319073,47625101312,0.000980678,0.001235968,Consumer Discretionary
DHR,0.52792843,1.94638E+11,0.004007907,0.002115888,Health Care
DIS,1.092786046,1.85513E+11,0.003820005,0.004174448,Communication Services
DLR,0.365556606,47269720064,0.00097336,0.000355818,Real Estate
DLTR,0.671906006,25176041472,0.000518416,0.000348327,Consumer Staples
DOC,0.31512323,13442236416,0.000276798,8.72253E-05,Real Estate
DOV,-0.054268561,25311856640,0.000521212,-2.82854E-05,Industrials
DOW,1.475755762,40617177088,0.000836374,0.001234283,Materials
DPZ,0.005974305,17515442176,0.000360671,2.15476E-06,Consumer Discretionary
DRI,-0.040632234,17617389568,0.000362771,-1.47402E-05,Consumer Discretionary
DTE,0.803142554,23375601664,0.000481342,0.000386586,Utilities
DUK,0.373314913,78851637248,0.001623683,0.000606145,Utilities
DVA,4.756138591,12150318080,0.000250195,0.001189961,Health Care
DVN,-0.165867753,30430801920,0.00062662,-0.000103936,Energy
DXCM,1.409239088,50653011968,0.001043028,0.001469876,Health Care
EA,0.491074176,35977146368,0.000740828,0.000363801,Communication Services
EBAY,3.02972625,27555618816,0.000567415,0.001719112,Consumer Discretionary
ECL,0.506152212,66911903744,0.001377825,0.000697389,Materials
ED,0.596567106,32657199104,0.000672465,0.00040117,Utilities
EFX,1.205937159,29669111808,0.000610935,0.00073675,Industrials
EG,1.135834024,17026053120,0.000350594,0.000398217,Financials
EIX,0.43097602,28691030016,0.000590795,0.000254618,Utilities
EL,-0.055498055,45200576512,0.000930753,-5.1655E-05,Consumer Staples
ELV,-4.142006323,1.21185E+11,0.002495398,-0.010335952,Health Care
EMN,1.191317788,11786948608,0.000242712,0.000289148,Materials
EMR,0.826740442,64887578624,0.001336141,0.001104642,Industrials
ENPH,6.536170472,17032367104,0.000350724,0.002292393,Information Technology
EOG,-0.612756707,70844620800,0.001458806,-0.000893893,Energy
EPAM,-3.632955328,10441768960,0.000215013,-0.000781133,Information Technology
EQIX,-0.183710621,72709152768,0.0014972,-0.000275051,Real Estate
EQR,0.489445868,24898459648,0.0005127,0.000250939,Real Estate
EQT,0.601357252,17729918976,0.000365088,0.000219548,Energy
ES,0,20265230336,0.000417294,0,Utilities
ESS,0.554325181,17241772032,0.000355036,0.000196805,Real Estate
ETN,0.729862633,1.36319E+11,0.002807034,0.002048749,Industrials
ETR,-0.237661913,23305426944,0.000479897,-0.000114053,Utilities
ETSY,-2.351808724,7088478208,0.000145963,-0.000343278,Consumer Discretionary
EVRG,0.037447028,12285106176,0.00025297,9.47299E-06,Utilities
EW,0.594562403,53016748032,0.001091701,0.000649084,Health Care
EXC,-0.918174895,36691099648,0.000755529,-0.000693708,Utilities
EXPD,1.088350858,16662085632,0.000343099,0.000373413,Industrials
EXPE,-0.16291095,14612875264,0.000300903,-4.90204E-05,Consumer Discretionary
EXR,-0.035057877,31432759296,0.000647252,-2.26913E-05,Real Estate
F,0.412883502,48319340544,0.000994974,0.000410808,Consumer Discretionary
FANG,0.781412767,34502430720,0.000710461,0.000555163,Energy
FAST,0.334336749,37799550976,0.000778354,0.000260232,Industrials
FCX,0.644527366,74022330368,0.00152424,0.000982414,Materials
FDS,-0.073328632,16620013568,0.000342233,-2.50955E-05,Financials
FDX,-0.681935494,60927193088,0.00125459,-0.000855549,Industrials
FE,-0.434333601,22427860992,0.000461826,-0.000200587,Utilities
FFIV,-0.029422214,9958076416,0.000205053,-6.03311E-06,Information Technology
FI,0.09320865,88514625536,0.00182266,0.000169888,Financials
FICO,2.324890975,34215700480,0.000704557,0.001638018,Information Technology
FIS,1.939461937,43270766592,0.000891015,0.001728091,Financials
FITB,1.167844402,25480675328,0.000524689,0.000612755,Financials
FMC,2.847625489,7708759552,0.000158736,0.00045202,Materials
FOX,1.566067041,15102594048,0.000310987,0.000487026,Communication Services
FOXA,1.941156706,15102586880,0.000310987,0.000603674,Communication Services
FRT,-0.598078011,8196237312,0.000168774,-0.00010094,Real Estate
FSLR,10.78019012,29622525952,0.000609976,0.006575657,Information Technology
FTNT,0.689312599,46867595264,0.00096508,0.000665242,Information Technology
FTV,0.410158178,26715480064,0.000550115,0.000225634,Industrials
GD,1.045462774,82204942336,0.001692733,0.00176969,Industrials
GE,1.252576179,1.83161E+11,0.003771585,0.004724197,Industrials
GEHC,0.65548548,36448727040,0.000750539,0.000491967,Health Care
GEN,0.891768596,15584773120,0.000320916,0.000286183,Information Technology
GEV,9.748249326,48631078912,0.001001393,0.009761828,Industrials
GILD,-0.740513643,81827430400,0.00168496,-0.001247736,Health Care
GIS,-1.143426441,38558699520,0.000793986,-0.000907865,Consumer Staples
GL,1.477336768,7542124544,0.000155305,0.000229437,Financials
GLW,0.442967475,31078135808,0.000639949,0.000283477,Information Technology
GM,0.868971123,50302603264,0.001035812,0.000900091,Consumer Discretionary
GNRC,3.135843133,9010936832,0.00018555,0.000581855,Industrials
GOOG,0.725468005,2.17006E+12,0.044685023,0.032417555,Communication Services
GOOGL,0.829733458,2.17005E+12,0.04468488,0.03707654,Communication Services
GPC,-0.295223271,20229001216,0.000416548,-0.000122975,Consumer Discretionary
GPN,-0.464931943,26229489664,0.000540108,-0.000251113,Financials
GRMN,0.66367717,31464296448,0.000647901,0.000429997,Consumer Discretionary
GS,0.661355194,1.48713E+11,0.003062253,0.002025237,Financials
GWW,1.225517132,47482327040,0.000977738,0.001198235,Industrials
HAL,0.361314813,31968219136,0.000658278,0.000237845,Energy
HAS,0.513672545,8444842496,0.000173893,8.93241E-05,Consumer Discretionary
HBAN,1.178202123,19912695808,0.000410035,0.000483104,Financials
HCA,1.071928455,83471998976,0.001718824,0.001842457,Health Care
HD,-0.547587404,3.22374E+11,0.006638199,-0.003634994,Consumer Discretionary
HES,0.738621652,46645075968,0.000960498,0.000709445,Energy
HIG,0.625928707,29954066432,0.000616803,0.000386075,Financials
HII,1.312878543,10102811648,0.000208033,0.000273122,Industrials
HLT,1.604762652,50819350528,0.001046453,0.001679309,Consumer Discretionary
HOLX,-0.256784454,17223223296,0.000354654,-9.10697E-05,Health Care
HON,0.150460431,1.30035E+11,0.002677639,0.000402879,Industrials
HPE,0.932017974,23929870336,0.000492755,0.000459256,Information Technology
HPQ,0.306274026,32045252608,0.000659864,0.000202099,Information Technology
HRL,1.035972979,19229325312,0.000395963,0.000410207,Consumer Staples
HSIC,0.279648472,9183817728,0.00018911,5.28842E-05,Health Care
HST,0.826444197,13079888896,0.000269336,0.000222591,Real Estate
HSY,-2.009547066,39839113216,0.000820352,-0.001648536,Consumer Staples
HUBB,3.092787275,22172317696,0.000456564,0.001412056,Industrials
HUM,-0.829031122,42090999808,0.000866722,-0.00071854,Health Care
HWM,2.790588574,34581266432,0.000712085,0.001987135,Industrials
IBM,0.128904449,1.5698E+11,0.003232475,0.00041668,Information Technology
ICE,0.694241125,78202576896,0.001610318,0.001117949,Financials
IDXX,0.077509094,42656337920,0.000878363,6.80811E-05,Health Care
IEX,-0.180940615,16285864960,0.000335352,-6.06789E-05,Industrials
IFF,1.767754999,24549445632,0.000505513,0.000893623,Materials
ILMN,0.595186483,16962264064,0.000349281,0.000207887,Health Care
INCY,-0.2436891,12886440960,0.000265353,-6.46636E-05,Health Care
INTC,2.127657551,1.30771E+11,0.002692788,0.005729332,Information Technology
INTU,-8.345667671,1.69682E+11,0.003494033,-0.02916004,Information Technology
INVH,-0.115877506,21120241664,0.0004349,-5.03951E-05,Real Estate
IP,2.943838862,15789712384,0.000325136,0.000957148,Materials
IPG,0.955417669,11964341248,0.000246365,0.000235382,Communication Services
IQV,1.10529297,41833119744,0.000861412,0.000952113,Health Care
IR,0.420611496,38527754240,0.000793349,0.000333692,Industrials
IRM,1.198290354,23518060544,0.000484275,0.000580302,Real Estate
ISRG,1.62152444,1.43603E+11,0.002957013,0.004794869,Health Care
IT,-1.4920671,34082893824,0.000701822,-0.001047166,Information Technology
ITW,-0.571542614,71636893696,0.00147512,-0.000843094,Industrials
IVZ,1.099612392,7030858752,0.000144777,0.000159198,Financials
J,1.429393349,17592426496,0.000362257,0.000517807,Industrials
JBHT,-0.164688217,16265910272,0.000334942,-5.51609E-05,Industrials
JBL,0.681873518,14423401472,0.000297001,0.000202517,Information Technology
JCI,0.873600015,49784659968,0.001025147,0.000895569,Industrials
JKHY,0.166339201,12291668992,0.000253105,4.21014E-05,Financials
JNJ,-1.823644478,3.5371E+11,0.00728346,-0.013282441,Health Care
JNPR,0.289096484,11273833472,0.000232147,6.71128E-05,Information Technology
JPM,1.924643805,5.76373E+11,0.011868456,0.02284255,Financials
K,-0.472853264,20868599808,0.000429718,-0.000203194,Consumer Staples
KDP,0.618007908,46346936320,0.000954359,0.000589801,Consumer Staples
KEY,0.138309157,13652613120,0.00028113,3.88828E-05,Financials
KEYS,0.146000222,25151129600,0.000517903,7.56139E-05,Information Technology
KHC,0.139662676,43532652544,0.000896408,0.000125195,Consumer Staples
KIM,-0.538505025,12450921472,0.000256385,-0.000138064,Real Estate
KLAC,1.824601022,1.04893E+11,0.00215991,0.003940974,Information Technology
KMB,0.075854146,44425383936,0.000914791,6.93907E-05,Consumer Staples
KMI,-0.052412101,42323574784,0.000871511,-4.56777E-05,Energy
